ts(s)	uout	yout	wP	wI	wD	e
          0.091      -0.027745        0.13261       0.099999       0.099971            0.1      0.0097778
          0.092      -0.025753        0.12863       0.099998        0.09997            0.1        0.01531
          0.093      -0.023546        0.12608       0.099997       0.099968            0.1       0.019407
          0.094       -0.02134        0.12538       0.099997       0.099966        0.10001       0.021662
          0.095      -0.019355        0.12679       0.099997       0.099963        0.10001        0.02181
          0.096      -0.017801        0.13038       0.099997       0.099962        0.10001        0.01977
          0.097      -0.016852        0.13604       0.099998       0.099961        0.10001       0.015665
          0.098      -0.016626        0.14342       0.099998       0.099961        0.10001      0.0098307
          0.099       -0.01717        0.15201       0.099998       0.099961        0.10001       0.002795
            0.1      -0.018455        0.16112       0.099998       0.099961        0.10001     -0.0047634
          0.101      -0.020372        0.16999       0.099997        0.09996        0.10001      -0.012088
          0.102      -0.022752        0.17789       0.099997       0.099959        0.10001      -0.018432
          0.103      -0.025378        0.18416       0.099996       0.099956        0.10001      -0.023159
          0.104      -0.028016        0.18837       0.099995       0.099953        0.10001      -0.025813
          0.105       -0.03044        0.19028       0.099995       0.099949        0.10001      -0.026174
          0.106      -0.032446        0.18992       0.099996       0.099946        0.10001      -0.024262
          0.107      -0.033879        0.18752       0.099997       0.099943        0.10001      -0.020316
          0.108      -0.034634         0.1835       0.099997       0.099941        0.10001      -0.014748
          0.109      -0.034668        0.17839       0.099998       0.099941        0.10001     -0.0080921
           0.11      -0.034001        0.17279       0.099998       0.099941        0.10001    -0.00095156
          0.111       -0.03271        0.16734       0.099998       0.099941        0.10001      0.0060493
          0.112      -0.030928        0.16263       0.099997        0.09994        0.10001       0.012308
          0.113      -0.028831         0.1592       0.099996       0.099938        0.10001       0.017285
          0.114      -0.026623        0.15748       0.099995       0.099935        0.10001       0.020544
          0.115      -0.024522        0.15778       0.099995       0.099933        0.10001       0.021789
          0.116      -0.022736        0.16022       0.099995       0.099931        0.10001       0.020899
          0.117      -0.021443        0.16471       0.099996       0.099929        0.10001       0.017947
          0.118      -0.020775        0.17099       0.099996       0.099928        0.10001       0.013213
          0.119      -0.020796        0.17858       0.099996       0.099928        0.10001      0.0071616
           0.12      -0.021501        0.18688       0.099996       0.099928        0.10001      0.0004068
          0.121      -0.022814        0.19519       0.099996       0.099928        0.10001     -0.0063581
          0.122      -0.024599        0.20281       0.099996       0.099927        0.10001      -0.012443
          0.123      -0.026676        0.20916       0.099995       0.099926        0.10001      -0.017251
          0.124      -0.028848         0.2138       0.099994       0.099924        0.10001      -0.020346
          0.125      -0.030919         0.2165       0.099994       0.099921        0.10001      -0.021503
          0.126      -0.032715        0.21724       0.099994       0.099918        0.10001      -0.020712
          0.127      -0.034098        0.21623       0.099995       0.099916        0.10001      -0.018158
          0.128      -0.034974        0.21379       0.099995       0.099915        0.10001      -0.014178
          0.129      -0.035299        0.21036       0.099996       0.099914        0.10001     -0.0092103
           0.13      -0.035078        0.20643       0.099996       0.099914        0.10001     -0.0037487
          0.131      -0.034363        0.20252       0.099996       0.099914        0.10001      0.0017045
          0.132      -0.033247        0.19909       0.099996       0.099914        0.10001      0.0066747
          0.133      -0.031855        0.19655       0.099995       0.099913        0.10001       0.010749
          0.134      -0.030332        0.19523       0.099995       0.099912        0.10002       0.013602
          0.135      -0.028831        0.19534       0.099995       0.099911        0.10002       0.015025
